library,sample,sample_type,sort_bin,concentration,date,number_cells,R1
lib1,huACE2_05_bin3,huACE2,3,5,200911,1540055,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s05-b3_S19_R1_001.fastq.gz
lib1,huACE2_05_bin4,huACE2,4,5,200911,664599,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s05-b4_S20_R1_001.fastq.gz
lib1,huACE2_06_bin1,huACE2,1,6,200911,4170058,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s06-b1_S21_R1_001.fastq.gz
lib1,huACE2_06_bin2,huACE2,2,6,200911,1650950,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s06-b2_S22_R1_001.fastq.gz
lib1,huACE2_06_bin3,huACE2,3,6,200911,658294,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s06-b3_S23_R1_001.fastq.gz
lib1,huACE2_06_bin4,huACE2,4,6,200911,1659,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s06-b4_S24_R1_001.fastq.gz
lib1,huACE2_07_bin1,huACE2,1,7,200911,6000353,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s07-b1_S25_R1_001.fastq.gz
lib1,huACE2_07_bin2,huACE2,2,7,200911,1356209,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s07-b2_S26_R1_001.fastq.gz
lib1,huACE2_07_bin3,huACE2,3,7,200911,8886,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s07-b3_S27_R1_001.fastq.gz
lib1,huACE2_07_bin4,huACE2,4,7,200911,933,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s07-b4_S28_R1_001.fastq.gz
lib1,huACE2_08_bin1,huACE2,1,8,200911,6156518,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s08-b1_S29_R1_001.fastq.gz
lib1,huACE2_08_bin2,huACE2,2,8,200911,595972,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s08-b2_S30_R1_001.fastq.gz
lib1,huACE2_08_bin3,huACE2,3,8,200911,1248,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s08-b3_S31_R1_001.fastq.gz
lib1,huACE2_08_bin4,huACE2,4,8,200911,834,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s08-b4_S32_R1_001.fastq.gz
lib1,huACE2_09_bin1,huACE2,1,9,200911,6343931,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s09-b1_S33_R1_001.fastq.gz
lib1,huACE2_09_bin2,huACE2,2,9,200911,333778,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s09-b2_S34_R1_001.fastq.gz
lib1,huACE2_09_bin3,huACE2,3,9,200911,1386,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s09-b3_S35_R1_001.fastq.gz
lib1,huACE2_09_bin4,huACE2,4,9,200911,902,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s09-b4_S36_R1_001.fastq.gz
lib2,huACE2_01_bin1,huACE2,1,1,200911,2345731,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s10-b1_S37_R1_001.fastq.gz
lib2,huACE2_01_bin2,huACE2,2,1,200911,448382,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s10-b2_S38_R1_001.fastq.gz
lib2,huACE2_01_bin3,huACE2,3,1,200911,507611,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s10-b3_S39_R1_001.fastq.gz
lib2,huACE2_01_bin4,huACE2,4,1,200911,4026568,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s10-b4_S40_R1_001.fastq.gz
lib2,huACE2_02_bin1,huACE2,1,2,200911,2533803,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s11-b1_S41_R1_001.fastq.gz
lib2,huACE2_02_bin2,huACE2,2,2,200911,266004,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s11-b2_S42_R1_001.fastq.gz
lib2,huACE2_02_bin3,huACE2,3,2,200911,658297,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s11-b3_S43_R1_001.fastq.gz
lib2,huACE2_02_bin4,huACE2,4,2,200911,3708289,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s11-b4_S44_R1_001.fastq.gz
lib2,huACE2_03_bin1,huACE2,1,3,200911,2581761,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s12-b1_S45_R1_001.fastq.gz
lib2,huACE2_03_bin2,huACE2,2,3,200911,264421,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s12-b2_S46_R1_001.fastq.gz
lib2,huACE2_03_bin3,huACE2,3,3,200911,609369,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s12-b3_S47_R1_001.fastq.gz
lib2,huACE2_03_bin4,huACE2,4,3,200911,3435915,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s12-b4_S48_R1_001.fastq.gz
lib2,huACE2_04_bin1,huACE2,1,4,200911,3328043,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s13-b1_S49_R1_001.fastq.gz
lib2,huACE2_04_bin2,huACE2,2,4,200911,559672,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s13-b2_S50_R1_001.fastq.gz
lib2,huACE2_04_bin3,huACE2,3,4,200911,1060415,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s13-b3_S51_R1_001.fastq.gz
lib2,huACE2_04_bin4,huACE2,4,4,200911,2049796,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s13-b4_S52_R1_001.fastq.gz
lib2,huACE2_05_bin1,huACE2,1,5,200911,3860650,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s14-b1_S53_R1_001.fastq.gz
lib2,huACE2_05_bin2,huACE2,2,5,200911,848483,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s14-b2_S54_R1_001.fastq.gz
lib2,huACE2_05_bin3,huACE2,3,5,200911,1565429,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s14-b3_S55_R1_001.fastq.gz
lib2,huACE2_05_bin4,huACE2,4,5,200911,647022,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s14-b4_S56_R1_001.fastq.gz
lib2,huACE2_06_bin1,huACE2,1,6,200911,4546290,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s15-b1_S57_R1_001.fastq.gz
lib2,huACE2_06_bin2,huACE2,2,6,200911,1785209,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s15-b2_S58_R1_001.fastq.gz
lib2,huACE2_06_bin3,huACE2,3,6,200911,706373,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s15-b3_S59_R1_001.fastq.gz
lib2,huACE2_06_bin4,huACE2,4,6,200911,2531,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s15-b4_S60_R1_001.fastq.gz
lib2,huACE2_07_bin1,huACE2,1,7,200911,5827502,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s16-b1_S61_R1_001.fastq.gz
lib2,huACE2_07_bin2,huACE2,2,7,200911,1297675,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s16-b2_S62_R1_001.fastq.gz
lib2,huACE2_07_bin3,huACE2,3,7,200911,7657,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s16-b3_S63_R1_001.fastq.gz
lib2,huACE2_07_bin4,huACE2,4,7,200911,843,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s16-b4_S64_R1_001.fastq.gz
lib2,huACE2_08_bin1,huACE2,1,8,200911,5675650,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s17-b1_S65_R1_001.fastq.gz
lib2,huACE2_08_bin2,huACE2,2,8,200911,652221,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s17-b2_S66_R1_001.fastq.gz
lib2,huACE2_08_bin3,huACE2,3,8,200911,1516,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s17-b3_S67_R1_001.fastq.gz
lib2,huACE2_08_bin4,huACE2,4,8,200911,810,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s17-b4_S68_R1_001.fastq.gz
lib2,huACE2_09_bin1,huACE2,1,9,200911,5478948,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s18-b1_S69_R1_001.fastq.gz
lib2,huACE2_09_bin2,huACE2,2,9,200911,275423,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s18-b2_S70_R1_001.fastq.gz
lib2,huACE2_09_bin3,huACE2,3,9,200911,1365,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s18-b3_S71_R1_001.fastq.gz
lib2,huACE2_09_bin4,huACE2,4,9,200911,669,/shared/ngs/illumina/tstarr/200917_D00300_1054_AHH332BCX3/Unaligned/Project_tstarr/200911_s18-b4_S72_R1_001.fastq.gz
lib1,RpACE2_02_bin1,RpACE2,1,2,200914,8371074,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s11-b1_S37_R1_001.fastq.gz
lib1,RpACE2_02_bin2,RpACE2,2,2,200914,1111486,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s11-b2_S38_R1_001.fastq.gz
lib1,RpACE2_02_bin3,RpACE2,3,2,200914,16353,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s11-b3_S39_R1_001.fastq.gz
lib1,RpACE2_02_bin4,RpACE2,4,2,200914,1881,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s11-b4_S40_R1_001.fastq.gz
lib1,RpACE2_03_bin1,RpACE2,1,3,200914,9052695,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s12-b1_S41_R1_001.fastq.gz
lib1,RpACE2_03_bin2,RpACE2,2,3,200914,113320,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s12-b2_S42_R1_001.fastq.gz
lib1,RpACE2_03_bin3,RpACE2,3,3,200914,4360,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s12-b3_S43_R1_001.fastq.gz
lib1,RpACE2_03_bin4,RpACE2,4,3,200914,2521,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s12-b4_S44_R1_001.fastq.gz
lib1,RpACE2_04_bin1,RpACE2,1,4,200914,8967537,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s13-b1_S45_R1_001.fastq.gz
lib1,RpACE2_04_bin2,RpACE2,2,4,200914,144057,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s13-b2_S46_R1_001.fastq.gz
lib1,RpACE2_04_bin3,RpACE2,3,4,200914,41231,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s13-b3_S47_R1_001.fastq.gz
lib1,RpACE2_04_bin4,RpACE2,4,4,200914,15641,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s13-b4_S48_R1_001.fastq.gz
lib1,RpACE2_05_bin1,RpACE2,1,5,200914,9240340,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s14-b1_S49_R1_001.fastq.gz
lib1,RpACE2_05_bin2,RpACE2,2,5,200914,123973,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s14-b2_S50_R1_001.fastq.gz
lib1,RpACE2_05_bin3,RpACE2,3,5,200914,18524,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s14-b3_S51_R1_001.fastq.gz
lib1,RpACE2_05_bin4,RpACE2,4,5,200914,1154,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s14-b4_S52_R1_001.fastq.gz
lib1,RpACE2_06_bin1,RpACE2,1,6,200914,8918280,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s15-b1_S53_R1_001.fastq.gz
lib1,RpACE2_06_bin2,RpACE2,2,6,200914,86703,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s15-b2_S54_R1_001.fastq.gz
lib1,RpACE2_06_bin3,RpACE2,3,6,200914,590,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s15-b3_S55_R1_001.fastq.gz
lib1,RpACE2_06_bin4,RpACE2,4,6,200914,7,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s15-b4_S56_R1_001.fastq.gz
lib1,RpACE2_07_bin1,RpACE2,1,7,200914,8943370,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s16-b1_S57_R1_001.fastq.gz
lib1,RpACE2_07_bin2,RpACE2,2,7,200914,85765,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s16-b2_S58_R1_001.fastq.gz
lib1,RpACE2_07_bin3,RpACE2,3,7,200914,17,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s16-b3_S59_R1_001.fastq.gz
lib1,RpACE2_07_bin4,RpACE2,4,7,200914,5,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s16-b4_S60_R1_001.fastq.gz
lib1,RaACE2.787_01_bin1,RaACE2.787,1,1,200914,4274285,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s19-b1_S61_R1_001.fastq.gz
lib1,RaACE2.787_01_bin2,RaACE2.787,2,1,200914,1162189,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s19-b2_S62_R1_001.fastq.gz
lib1,RaACE2.787_01_bin3,RaACE2.787,3,1,200914,520104,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s19-b3_S63_R1_001.fastq.gz
lib1,RaACE2.787_01_bin4,RaACE2.787,4,1,200914,1987146,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s19-b4_S64_R1_001.fastq.gz
lib1,RaACE2.787_02_bin1,RaACE2.787,1,2,200914,5158996,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s20-b1_S65_R1_001.fastq.gz
lib1,RaACE2.787_02_bin2,RaACE2.787,2,2,200914,952009,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s20-b2_S66_R1_001.fastq.gz
lib1,RaACE2.787_02_bin3,RaACE2.787,3,2,200914,502295,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s20-b3_S67_R1_001.fastq.gz
lib1,RaACE2.787_02_bin4,RaACE2.787,4,2,200914,1926430,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s20-b4_S68_R1_001.fastq.gz
lib1,RaACE2.787_03_bin1,RaACE2.787,1,3,200914,6096733,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s21-b1_S69_R1_001.fastq.gz
lib1,RaACE2.787_03_bin2,RaACE2.787,2,3,200914,643578,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s21-b2_S70_R1_001.fastq.gz
lib1,RaACE2.787_03_bin3,RaACE2.787,3,3,200914,552632,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s21-b3_S71_R1_001.fastq.gz
lib1,RaACE2.787_03_bin4,RaACE2.787,4,3,200914,1850698,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s21-b4_S72_R1_001.fastq.gz
lib1,RaACE2.787_04_bin1,RaACE2.787,1,4,200914,5793038,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s22-b1_S73_R1_001.fastq.gz
lib1,RaACE2.787_04_bin2,RaACE2.787,2,4,200914,439515,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s22-b2_S74_R1_001.fastq.gz
lib1,RaACE2.787_04_bin3,RaACE2.787,3,4,200914,695816,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s22-b3_S75_R1_001.fastq.gz
lib1,RaACE2.787_04_bin4,RaACE2.787,4,4,200914,1351314,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s22-b4_S76_R1_001.fastq.gz
lib1,RaACE2.787_05_bin1,RaACE2.787,1,5,200914,6453029,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s23-b1_S77_R1_001.fastq.gz
lib1,RaACE2.787_05_bin2,RaACE2.787,2,5,200914,779191,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s23-b2_S78_R1_001.fastq.gz
lib1,RaACE2.787_05_bin3,RaACE2.787,3,5,200914,848437,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s23-b3_S79_R1_001.fastq.gz
lib1,RaACE2.787_05_bin4,RaACE2.787,4,5,200914,706778,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s23-b4_S80_R1_001.fastq.gz
lib1,RaACE2.787_06_bin1,RaACE2.787,1,6,200914,7613101,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s24-b1_S81_R1_001.fastq.gz
lib1,RaACE2.787_06_bin2,RaACE2.787,2,6,200914,891387,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s24-b2_S82_R1_001.fastq.gz
lib1,RaACE2.787_06_bin3,RaACE2.787,3,6,200914,742824,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s24-b3_S83_R1_001.fastq.gz
lib1,RaACE2.787_06_bin4,RaACE2.787,4,6,200914,12206,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s24-b4_S84_R1_001.fastq.gz
lib1,RaACE2.787_07_bin1,RaACE2.787,1,7,200914,8169693,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s25-b1_S85_R1_001.fastq.gz
lib1,RaACE2.787_07_bin2,RaACE2.787,2,7,200914,811841,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s25-b2_S86_R1_001.fastq.gz
